0 , [ [ 8, 10 ], 16, 1 ] 
1 , [ [ 10, 18 ], 28, 1 ] 
2 , [ [ 15, 56 ], 5, 2 ] 
3 , [ [ 19, 55 ], 10, 2 ] 
4 , [ [ 23, 35 ], 7, 2 ] 
5 , [ [ 27, 40 ], 874, 2 ] 
6 , [ [ 28, 87, 90, 672 ], 2, 3 ] 
7 , [ [ 28, 58 ], 42, 2 ] 
8 , [ [ 36, 223 ], 229, 2 ] 
9 , [ [ 42, 101, 109, 614 ], 3, 3 ] 
10 , [ [ 56, 70 ], 16, 2 ] 
11 , [ [ 59, 73, 80, 116 ], 1, 3 ] 
12 , [ [ 73, 944 ], 10, 3 ] 
13 , [ [ 75, 109, 331, 464, 582, 586 ], 4, 3 ] 
14 , [ [ 81, 97 ], 0, 3 ] 
15 , [ [ 133, 145 ], 8, 3 ] 
16 , [ [ 335, 637 ], 17, 3 ] 
17 , [ 0.2, [ 152, 189, 425, 858 ], 1 ] 
18 , [ 0.5, [ 18, 205 ], 1 ] 
19 , [ 1, [ 41, 77, 526, 949 ], 1 ] 
20 , [ 2, [ 519, 813 ], 1 ] 
21 , [ 3, [ 21, 33 ], 1 ] 
22 , [ 4, [ 9, 19, 22, 25, 26, 349 ], 1 ] 
23 , [ 5, [ 14, 937 ], 1 ] 
24 , [ 6, [ 8, 24 ], 1 ] 
25 , [ 9, [ 342, 417 ], 1 ] 
26 , [ 11, [ 11, 121 ], 1 ] 
27 , [ 14, [ 10, 13, 418, 930 ], 1 ] 
28 , [ 15, [ 23, 58 ], 1 ] 
29 , [ 31, [ 445, 610 ], 2 ] 
30 , [ 32, [ 220, 221 ], 2 ] 
31 , [ 37, [ 8, 27 ], 2 ] 
32 , [ 38, [ 3, 394 ], 2 ] 
33 , [ 41, [ 33, 646 ], 2 ] 
34 , [ 42, [ 7, 101, 149, 506 ], 2 ] 
35 , [ 43, [ 17, 455 ], 2 ] 
36 , [ 50, [ 15, 34 ], 2 ] 
37 , [ 73, [ 14, 42 ], 2 ] 
38 , [ 98, [ 10, 49 ], 2 ] 
39 , [ 10, [ 16, 20, 28, 88 ], 1 ] 
40 , [ 15, [ 5, 22 ], 2 ] 
41 , [ 18, [ 28, 242 ], 1 ] 
42 , [ 19, [ 10, 13, 275, 740 ], 2 ] 
43 , [ 27, [ 829, 874 ], 2 ] 
44 , [ 35, [ 7, 674 ], 2 ] 
45 , [ 56, [ 5, 16 ], 2 ] 
46 , [ 70, [ 16, 35 ], 2 ] 
47 , [ 73, [ 1, 10 ], 3 ] 
48 , [ 109, [ 3, 4 ], 3 ] 
49 , [ 331, [ 4, 397 ], 3 ] 
50 , [ 614, [ 3, 947 ], 3 ] 
51 , [ 8, [ 16, 783 ], 1 ] 
52 , [ 23, [ 7, 803 ], 2 ] 
